subj.id,gutt.score,right.hand,left.hand,n_total,p_right,p_left,mean_HI,variance_prop,std_prop,handedness.index,cv
Aura,0.2,11,0,11,1,0,1,0,0,0,0
Aura,0.8,1242,0,1242,1,0,1,0,0,0,0
Babosa,0.2,2,2,4,0.5,0.5,0,0.0625,0.25,4,Inf
Babosa,0.4,1,11,12,0.08333333333333333,0.9166666666666666,-0.8333333333333334,0.00636574074074074,0.07978559231302818,0.0957427107756338,-0.0957427107756338
Babosa,0.8,338,289,627,0.5390749601275917,0.4609250398724083,0.07814992025518341,3.9628891146894276e-4,0.019907006592377034,0.2547284312942939,0.2547284312942939
Bat,0.6,4,0,4,1,0,1,0,0,0,0
Bat,0.8,285,0,285,1,0,1,0,0,0,0
Belanda,0.2,41,0,41,1,0,1,0,0,0,0
Belanda,0.6,2,0,2,1,0,1,0,0,0,0
Belanda,0.8,11,0,11,1,0,1,0,0,0,0
Betina,0.2,0,6,6,0,1,-1,0,0,0,-0
Betina,0.8,0,189,189,0,1,-1,0,0,0,-0
Dandi,0.2,0,18,18,0,1,-1,0,0,0,-0
Dandi,0.4,0,5,5,0,1,-1,0,0,0,-0
Dandi,0.6,0,9,9,0,1,-1,0,0,0,-0
Dandi,0.8,0,258,258,0,1,-1,0,0,0,-0
Flame,0.2,0,5,5,0,1,-1,0,0,0,-0
Flame,0.8,0,1183,1183,0,1,-1,0,0,0,-0
Granny,0.2,0,27,27,0,1,-1,0,0,0,-0
Granny,0.4,15,1,16,0.9375,0.0625,0.875,0.003662109375,0.06051536478449089,0.06916041689656102,0.06916041689656102
Granny,0.6,0,16,16,0,1,-1,0,0,0,-0
Granny,0.8,0,1005,1005,0,1,-1,0,0,0,-0
Harley,0.2,0,23,23,0,1,-1,0,0,0,-0
Harley,0.4,4,0,4,1,0,1,0,0,0,0
Harley,0.6,0,2,2,0,1,-1,0,0,0,-0
Harley,0.8,0,622,622,0,1,-1,0,0,0,-0
Iyla,0,75,20,95,0.7894736842105263,0.21052631578947367,0.5789473684210527,0.001749526169995626,0.041827337591527694,0.0722472194762751,0.0722472194762751
Iyla,0.2,66,1,67,0.9850746268656716,0.014925373134328358,0.9701492537313433,2.194418861362601e-4,0.014813571012293426,0.01526937319728707,0.01526937319728707
Iyla,0.4,37,0,37,1,0,1,0,0,0,0
Iyla,0.6,5,0,5,1,0,1,0,0,0,0
Iyla,0.8,426,0,426,1,0,1,0,0,0,0
Jim_lim,0,40,16,56,0.7142857142857143,0.2857142857142857,0.42857142857142855,0.003644314868804665,0.0603681610520369,0.14085904245475278,0.14085904245475278
Jim_lim,0.2,0,2,2,0,1,-1,0,0,0,-0
Jim_lim,0.4,0,7,7,0,1,-1,0,0,0,-0
Jim_lim,0.8,0,642,642,0,1,-1,0,0,0,-0
Kal,0.4,26,0,26,1,0,1,0,0,0,0
Kal,0.6,13,0,13,1,0,1,0,0,0,0
Kal,0.8,206,0,206,1,0,1,0,0,0,0
Lip,0.2,0,3,3,0,1,-1,0,0,0,-0
Lip,0.4,0,44,44,0,1,-1,0,0,0,-0
Lip,0.8,0,2137,2137,0,1,-1,0,0,0,-0
Naina,0.2,0,21,21,0,1,-1,0,0,0,-0
Naina,0.4,31,0,31,1,0,1,0,0,0,0
Naina,0.6,0,8,8,0,1,-1,0,0,0,-0
Naina,0.8,0,686,686,0,1,-1,0,0,0,-0
Oreo,0.2,0,2,2,0,1,-1,0,0,0,-0
Oreo,0.4,12,5,17,0.7058823529411765,0.29411764705882354,0.4117647058823529,0.012212497455729698,0.11051016901502639,0.26838183903649265,0.26838183903649265
Oreo,0.6,0,2,2,0,1,-1,0,0,0,-0
Oreo,0.8,0,299,299,0,1,-1,0,0,0,-0
Pat,0,7,4,11,0.6363636363636364,0.36363636363636365,0.2727272727272727,0.021036814425244178,0.14504073367590284,0.5318160234783105,0.5318160234783105
Pat,0.2,2,1,3,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.07407407407407407,0.2721655269759087,0.816496580927726,0.816496580927726
Pat,0.4,24,5,29,0.8275862068965517,0.1724137931034483,0.6551724137931034,0.004920250932797573,0.0701445003745666,0.10706265846644376,0.10706265846644376
Pat,0.6,5,0,5,1,0,1,0,0,0,0
Pat,0.8,129,0,129,1,0,1,0,0,0,0
Pinky,0,27,7,34,0.7941176470588235,0.20588235294117646,0.5882352941176471,0.004808670873193567,0.06934458070529785,0.11788578719900634,0.11788578719900634
Pinky,0.2,11,1,12,0.9166666666666666,0.08333333333333333,0.8333333333333334,0.00636574074074074,0.07978559231302818,0.0957427107756338,0.0957427107756338
Pinky,0.4,7,1,8,0.875,0.125,0.75,0.013671875,0.11692679333668567,0.15590239111558088,0.15590239111558088
Pinky,0.6,8,0,8,1,0,1,0,0,0,0
Pinky,0.8,599,0,599,1,0,1,0,0,0,0
Quindoline,0,21,20,41,0.5121951219512195,0.4878048780487805,0.024390243902439025,0.006093933634160851,0.07806365117108506,3.2006096980144876,3.2006096980144876
Quindoline,0.2,4,18,22,0.18181818181818182,0.8181818181818182,-0.6363636363636364,0.0067618332081142004,0.08223036670302644,0.12921914767618442,-0.12921914767618442
Quindoline,0.6,10,0,10,1,0,1,0,0,0,0
Quindoline,0.8,1322,3,1325,0.9977358490566037,0.0022641509433962265,0.9954716981132076,1.704924199171128e-6,0.0013057274597599333,0.0013116670842925789,0.0013116670842925789
Robin,0,53,18,71,0.7464788732394366,0.2535211267605634,0.49295774647887325,0.002665467113332644,0.051628162017765496,0.10473141437889572,0.10473141437889572
Robin,0.2,0,32,32,0,1,-1,0,0,0,-0
Robin,0.6,0,4,4,0,1,-1,0,0,0,-0
Robin,0.8,0,608,608,0,1,-1,0,0,0,-0
Santa,0.4,17,1,18,0.9444444444444444,0.05555555555555555,0.8888888888888888,0.002914951989026063,0.05399029532264167,0.060739082237971885,0.060739082237971885
Santa,0.8,0,532,532,0,1,-1,0,0,0,-0
Taipan,0,12,13,25,0.48,0.52,-0.04,0.009984,0.09991996797437437,2.4979991993593593,-2.4979991993593593
Taipan,0.4,7,26,33,0.21212121212121213,0.7878787878787878,-0.5757575757575758,0.005064418287558783,0.07116472642790657,0.12360189326952192,-0.12360189326952192
Taipan,0.6,3,0,3,1,0,1,0,0,0,0
Taipan,0.8,792,0,792,1,0,1,0,0,0,0
Ted,0.2,0,9,9,0,1,-1,0,0,0,-0
Ted,0.4,0,4,4,0,1,-1,0,0,0,-0
Ted,0.6,12,0,12,1,0,1,0,0,0,0
Ted,0.8,224,0,224,1,0,1,0,0,0,0
Tutu,0.2,4,0,4,1,0,1,0,0,0,0
Tutu,0.8,356,3,359,0.9916434540389972,0.008356545961002786,0.9832869080779945,2.30827690824636e-5,0.00480445304717026,0.004886115138623579,0.004886115138623579
Vula,0,5,19,24,0.20833333333333334,0.7916666666666666,-0.5833333333333334,0.006872106481481482,0.08289816934939807,0.14211114745611098,-0.14211114745611098
Vula,0.6,0,3,3,0,1,-1,0,0,0,-0
Vula,0.8,0,1492,1492,0,1,-1,0,0,0,-0
Whitney,0.4,1,8,9,0.1111111111111111,0.8888888888888888,-0.7777777777777778,0.010973936899862825,0.10475656017578482,0.13468700594029476,-0.13468700594029476
Whitney,0.8,1087,5,1092,0.9954212454212454,0.004578754578754579,0.9908424908424909,4.173799986503766e-6,0.0020429880044933613,0.002061869594183688,0.002061869594183688
Yaiko,0,7,1,8,0.875,0.125,0.75,0.013671875,0.11692679333668567,0.15590239111558088,0.15590239111558088
Yaiko,0.2,6,0,6,1,0,1,0,0,0,0
Yaiko,0.4,19,0,19,1,0,1,0,0,0,0
Yaiko,0.8,845,2,847,0.9976387249114522,0.0023612750885478157,0.9952774498229043,2.7812272355419354e-6,0.001667701182928745,0.0016756143558014794,0.0016756143558014794
